ik,level5,level1_description,level2_description,level3_description,IK14
PSGAAPLEWMOORI-PEINSRQWSA-N,G03DA02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,PSGAAPLEWMOORI
OOUGLTULBSNHNF-UHFFFAOYSA-N,M09AX03,MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,OOUGLTULBSNHNF
KXGVEGMKQFWNSR-LLQZFEROSA-N,D11AX24,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,KXGVEGMKQFWNSR
WWYNJERNGUHSAO-XUDSTZEESA-N,G03AC03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,WWYNJERNGUHSAO
KWTWDQCKEHXFFR-SMDDNHRTSA-N,N02AX06,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,KWTWDQCKEHXFFR
GBBSUAFBMRNDJC-INIZCTEOSA-N,N05CF04,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,GBBSUAFBMRNDJC
WQZGKKKJIJFFOK-GASJEMHNSA-N,V06DC01,VARIOUS,GENERAL NUTRIENTS,OTHER NUTRIENTS,WQZGKKKJIJFFOK
BQJCRHHNABKAKU-KBQPJGBKSA-N,N02AA01,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,BQJCRHHNABKAKU
LDEKQSIMHVQZJK-CAQYMETFSA-N,J05AF13,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,LDEKQSIMHVQZJK
ZISJNXNHJRQYJO-CMDGGOBGSA-N,D05AX07,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR TOPICAL USE,ZISJNXNHJRQYJO
WGRQANOPCQRCME-PMACEKPBSA-N,A10BH08,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",WGRQANOPCQRCME
RWWYLEGWBNMMLJ-YSOARWBDSA-N,J05AB16,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,RWWYLEGWBNMMLJ
FWCVZAQENIZVMY-UHFFFAOYSA-N,B06AX03,BLOOD AND BLOOD FORMING ORGANS,OTHER HEMATOLOGICAL AGENTS,OTHER HEMATOLOGICAL AGENTS,FWCVZAQENIZVMY
ZHKNLJLMDFQVHJ-RUZDIDTESA-N,C10AB12,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",ZHKNLJLMDFQVHJ
QKDRXGFQVGOQKS-CRSSMBPESA-N,A10BK06,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",QKDRXGFQVGOQKS
GEJDGVNQKABXKG-CFKGEZKQSA-N,N07XX13,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS,GEJDGVNQKABXKG
DJXRIQMCROIRCZ-XOEOCAAJSA-N,G04BD15,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,DJXRIQMCROIRCZ
YTFHCXIPDIHOIA-DHZHZOJOSA-N,M09AX11,MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,YTFHCXIPDIHOIA
MVGWUTBTXDYMND-QGZVFWFLSA-N,L04AE05,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,MVGWUTBTXDYMND
AFLFKFHDSCQHOL-IZZDOVSWSA-N,A05AX06,ALIMENTARY TRACT AND METABOLISM,BILE AND LIVER THERAPY,BILE THERAPY,AFLFKFHDSCQHOL
PIBARDGJJAGJAJ-NQIIRXRSSA-N,L04AJ09,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,PIBARDGJJAGJAJ
KANJSNBRCNMZMV-ABRZTLGGSA-N,B01AX05,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,KANJSNBRCNMZMV
UQRORFVVSGFNRO-UTINFBMNSA-N,A16AX06,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,UQRORFVVSGFNRO
VNFPBHJOKIVQEB-UHFFFAOYSA-N,D01AC01,DERMATOLOGICALS,ANTIFUNGALS FOR DERMATOLOGICAL USE,ANTIFUNGALS FOR TOPICAL USE,VNFPBHJOKIVQEB
IRSCQMHQWWYFCW-UHFFFAOYSA-N,J05AB06,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,IRSCQMHQWWYFCW
WYWIFABBXFUGLM-UHFFFAOYSA-N,R01AB07,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,WYWIFABBXFUGLM
RDOIQAHITMMDAJ-UHFFFAOYSA-N,A07DA53,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ANTIPROPULSIVES,RDOIQAHITMMDAJ
BPQMGSKTAYIVFO-UHFFFAOYSA-N,L01XJ01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,BPQMGSKTAYIVFO
MYSWGUAQZAJSOK-UHFFFAOYSA-N,S02AA15,SENSORY ORGANS,OTOLOGICALS,ANTIINFECTIVES,MYSWGUAQZAJSOK
MNDBXUUTURYVHR-UHFFFAOYSA-N,D05AX06,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR TOPICAL USE,MNDBXUUTURYVHR
XOFYZVNMUHMLCC-ZPOLXVRWSA-N,A07EA03,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,XOFYZVNMUHMLCC
XOFYZVNMUHMLCC-ZPOLXVRWSA-N,H02AB07,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",XOFYZVNMUHMLCC
RLLPVAHGXHCWKJ-UHFFFAOYSA-N,P03AC54,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES",RLLPVAHGXHCWKJ
XIQVNETUBQGFHX-UHFFFAOYSA-N,G04BD04,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,XIQVNETUBQGFHX
WHTVZRBIWZFKQO-UHFFFAOYSA-N,P01BA01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,WHTVZRBIWZFKQO
FTALBRSUTCGOEG-UHFFFAOYSA-N,N07XX02,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS,FTALBRSUTCGOEG
GAGWJHPBXLXJQN-UORFTKCHSA-N,L01BC06,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,GAGWJHPBXLXJQN
SHGAZHPCJJPHSC-YCNIQYBTSA-N,D10AD01,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,SHGAZHPCJJPHSC
WOXKDUGGOYFFRN-IIBYNOLFSA-N,G04BE08,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,WOXKDUGGOYFFRN
RZEKVGVHFLEQIL-UHFFFAOYSA-N,L01XX33,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,RZEKVGVHFLEQIL
WSEQXVZVJXJVFP-FQEVSTJZSA-N,N06AB10,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,WSEQXVZVJXJVFP
VOVIALXJUBGFJZ-KWVAZRHASA-N,R01AD05,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,VOVIALXJUBGFJZ
XMAYWYJOQHXEEK-UHFFFAOYSA-N,J02AB02,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,XMAYWYJOQHXEEK
PMXMIIMHBWHSKN-UHFFFAOYSA-N,N05AX13,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,PMXMIIMHBWHSKN
PIWKPBJCKXDKJR-UHFFFAOYSA-N,N01AB06,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",PIWKPBJCKXDKJR
IQPSEEYGBUAQFF-UHFFFAOYSA-N,A02BC02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),IQPSEEYGBUAQFF
KJADKKWYZYXHBB-XBWDGYHZSA-N,N03AX11,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,KJADKKWYZYXHBB
MOYKHGMNXAOIAT-JGWLITMVSA-N,C01DA08,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,MOYKHGMNXAOIAT
MOYKHGMNXAOIAT-JGWLITMVSA-N,C01DA58,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,MOYKHGMNXAOIAT
DYDCUQKUCUHJBH-UWTATZPHSA-N,J04AB01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,DYDCUQKUCUHJBH
WDQPAMHFFCXSNU-BGABXYSRSA-N,J04BA01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF LEPRA,WDQPAMHFFCXSNU
DPYMFVXJLLWWEU-UHFFFAOYSA-N,N01AB07,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",DPYMFVXJLLWWEU
JUKPWJGBANNWMW-VWBFHTRKSA-N,C03DA04,CARDIOVASCULAR SYSTEM,DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,JUKPWJGBANNWMW
UREBDLICKHMUKA-CXSFZGCWSA-N,C05AA09,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,UREBDLICKHMUKA
UREBDLICKHMUKA-CXSFZGCWSA-N,D07XB05,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS",UREBDLICKHMUKA
UREBDLICKHMUKA-CXSFZGCWSA-N,H02AB02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",UREBDLICKHMUKA
UREBDLICKHMUKA-CXSFZGCWSA-N,S01BA01,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,UREBDLICKHMUKA
IPEHBUMCGVEMRF-UHFFFAOYSA-N,J04AK01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,IPEHBUMCGVEMRF
ZKIAIYBUSXZPLP-UHFFFAOYSA-N,N05AX16,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,ZKIAIYBUSXZPLP
VAOCPAMSLUNLGC-UHFFFAOYSA-N,J01XD01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,VAOCPAMSLUNLGC
SUBDBMMJDZJVOS-UHFFFAOYSA-N,A02BC01,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),SUBDBMMJDZJVOS
KHOITXIGCFIULA-UHFFFAOYSA-N,A06AB52,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,KHOITXIGCFIULA
DIWRORZWFLOCLC-UHFFFAOYSA-N,N05BA06,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,DIWRORZWFLOCLC
OVBPIULPVIDEAO-LBPRGKRZSA-N,B03BB01,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,VITAMIN B12 AND FOLIC ACID,OVBPIULPVIDEAO
OVBPIULPVIDEAO-LBPRGKRZSA-N,B03BB51,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,VITAMIN B12 AND FOLIC ACID,OVBPIULPVIDEAO
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,N06AB03,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,RTHCYVBBDHJXIQ
FBPFZTCFMRRESA-KVTDHHQDSA-N,V04CX04,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,FBPFZTCFMRRESA
GMRQFYUYWCNGIN-NKMMMXOESA-N,D05AX03,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR TOPICAL USE,GMRQFYUYWCNGIN
HYIMSNHJOBLJNT-UHFFFAOYSA-N,C08CA55,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,HYIMSNHJOBLJNT
WMWTYOKRWGGJOA-CENSZEJFSA-N,R01AD58,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,WMWTYOKRWGGJOA
SYTBZMRGLBWNTM-UHFFFAOYSA-N,R02AX01,RESPIRATORY SYSTEM,THROAT PREPARATIONS,THROAT PREPARATIONS,SYTBZMRGLBWNTM
KPBZROQVTHLCDU-UHFFFAOYSA-N,C08CA16,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,KPBZROQVTHLCDU
CGIGDMFJXJATDK-UHFFFAOYSA-N,M01AB01,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",CGIGDMFJXJATDK
KVWDHTXUZHCGIO-UHFFFAOYSA-N,N05AH03,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,KVWDHTXUZHCGIO
OROGSEYTTFOCAN-DNJOTXNNSA-N,R05DA04,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",OROGSEYTTFOCAN
HLFSMUUOKPBTSM-ISIOAQNYSA-N,J01AA13,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,HLFSMUUOKPBTSM
XNKLLVCARDGLGL-JGVFFNPUSA-N,J05AF04,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,XNKLLVCARDGLGL
BPKAHTKRCLCHEA-UBFJEZKGSA-N,H05BX02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CALCIUM HOMEOSTASIS,ANTI-PARATHYROID AGENTS,BPKAHTKRCLCHEA
LXMSZDCAJNLERA-ZHYRCANASA-N,C03DA01,CARDIOVASCULAR SYSTEM,DIURETICS,ALDOSTERONE ANTAGONISTS AND OTHER POTASSIUM-SPARING AGENTS,LXMSZDCAJNLERA
JCQLYHFGKNRPGE-FCVZTGTOSA-N,A06AD61,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,JCQLYHFGKNRPGE
HTIQEAQVCYTUBX-UHFFFAOYSA-N,C08CA01,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,HTIQEAQVCYTUBX
HDOVUKNUBWVHOX-QMMMGPOBSA-N,J05AB11,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,HDOVUKNUBWVHOX
XUIIKFGFIJCVMT-GFCCVEGCSA-N,C10AX01,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",XUIIKFGFIJCVMT
HFNKQEVNSGCOJV-OAHLLOKOSA-N,L01EJ01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,HFNKQEVNSGCOJV
TTZHDVOVKQGIBA-IQWMDFIBSA-N,J05AP08,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,TTZHDVOVKQGIBA
ZKLPARSLTMPFCP-UHFFFAOYSA-N,S01GX12,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,ZKLPARSLTMPFCP
JBIMVDZLSHOPLA-LSCVHKIXSA-N,S01GX09,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,JBIMVDZLSHOPLA
ZSBOMTDTBDDKMP-OAHLLOKOSA-N,A10BH04,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",ZSBOMTDTBDDKMP
INJOMKTZOLKMBF-UHFFFAOYSA-N,C02AC02,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",INJOMKTZOLKMBF
PWKSKIMOESPYIA-BYPYZUCNSA-N,V03AB23,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,PWKSKIMOESPYIA
PHVGLTMQBUFIQQ-UHFFFAOYSA-N,N06AA10,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,PHVGLTMQBUFIQQ
ZCVMWBYGMWKGHF-UHFFFAOYSA-N,S01GX08,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,ZCVMWBYGMWKGHF
ZEUITGRIYCTCEM-KRWDZBQOSA-N,N06AX21,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,ZEUITGRIYCTCEM
NNJVILVZKWQKPM-UHFFFAOYSA-N,C05AD01,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,NNJVILVZKWQKPM
DOAKLVKFURWEDJ-RWDRXURGSA-N,J01XX09,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,DOAKLVKFURWEDJ
FKENQMMABCRJMK-RITPCOANSA-N,J01CG01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",FKENQMMABCRJMK
XYLJNLCSTIOKRM-UHFFFAOYSA-N,D11AX21,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,XYLJNLCSTIOKRM
LMEKQMALGUDUQG-UHFFFAOYSA-N,L04AX01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,LMEKQMALGUDUQG
VOXZDWNPVJITMN-ZBRFXRBCSA-N,G03CA03,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,VOXZDWNPVJITMN
XFYDIVBRZNQMJC-UHFFFAOYSA-N,M03BX02,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",XFYDIVBRZNQMJC
GQYIWUVLTXOXAJ-UHFFFAOYSA-N,L01AD02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,GQYIWUVLTXOXAJ
SONNWYBIRXJNDC-VIFPVBQESA-N,C05AX06,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,SONNWYBIRXJNDC
SONNWYBIRXJNDC-VIFPVBQESA-N,R01AB01,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,SONNWYBIRXJNDC
UBPYILGKFZZVDX-UHFFFAOYSA-N,L01EA04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,UBPYILGKFZZVDX
LUKZNWIVRBCLON-GXOBDPJESA-N,R01AD13,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,LUKZNWIVRBCLON
OGWKCGZFUXNPDA-XQKSVPLYSA-N,L01CA02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,OGWKCGZFUXNPDA
VIKNJXKGJWUCNN-XGXHKTLJSA-N,G03AC01,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,VIKNJXKGJWUCNN
XGALLCVXEZPNRQ-UHFFFAOYSA-N,L01EB01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,XGALLCVXEZPNRQ
OFCNXPDARWKPPY-UHFFFAOYSA-N,M04AA51,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,OFCNXPDARWKPPY
GZSOSUNBTXMUFQ-YFAPSIMESA-N,C05CA03,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,CAPILLARY STABILIZING AGENTS,GZSOSUNBTXMUFQ
AAKJLRGGTJKAMG-UHFFFAOYSA-N,L01EB02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,AAKJLRGGTJKAMG
IENZQIKPVFGBNW-UHFFFAOYSA-N,C02CA01,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",IENZQIKPVFGBNW
JYGXADMDTFJGBT-VWUMJDOOSA-N,S02BA01,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS,JYGXADMDTFJGBT
VHRSUDSXCMQTMA-PJHHCJLFSA-N,D10AA02,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,VHRSUDSXCMQTMA
VHRSUDSXCMQTMA-PJHHCJLFSA-N,H02AB04,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",VHRSUDSXCMQTMA
DCOPUUMXTXDBNB-UHFFFAOYSA-N,M02AA15,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,DCOPUUMXTXDBNB
YSXKPIUOCJLQIE-UHFFFAOYSA-N,N04AA02,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,ANTICHOLINERGIC AGENTS,YSXKPIUOCJLQIE
ZAFYATHCZYHLPB-UHFFFAOYSA-N,N05CF02,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,ZAFYATHCZYHLPB
QFNHIDANIVGXPE-FNZWTVRRSA-N,A07DA06,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",ANTIPROPULSIVES,QFNHIDANIVGXPE
ZZUFCTLCJUWOSV-UHFFFAOYSA-N,C03CA01,CARDIOVASCULAR SYSTEM,DIURETICS,HIGH-CEILING DIURETICS,ZZUFCTLCJUWOSV
MKJIEFSOBYUXJB-UHFFFAOYSA-N,N07XX06,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS,MKJIEFSOBYUXJB
HYHMLYSLQUKXKP-UHFFFAOYSA-N,C10AX15,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",HYHMLYSLQUKXKP
ZLHZLMOSPGACSZ-NSHDSACASA-N,J04AK08,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,ZLHZLMOSPGACSZ
JGRXMPYUTJLTKT-UHFFFAOYSA-N,B03XA08,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,OTHER ANTIANEMIC PREPARATIONS,JGRXMPYUTJLTKT
DKYWVDODHFEZIM-UHFFFAOYSA-N,M02AA10,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,DKYWVDODHFEZIM
