NCT_ID,Disease,y,p,p_adj,is_offmech
NCT05137184,Acute Pain; Ambulances,0,0.03478823222372537,0.03478823222372537,0
NCT04629703,pneumonia,0,0.2586410536658311,0.2586410536658311,0
NCT04615624,preeclampsia,0,0.23445085923644998,0.23445085923644998,0
NCT04752475,preeclampsia,0,0.19772898964175975,0.19772898964175975,0
NCT05093621,heart failure,0,0.0016238923032937697,0.0016238923032937697,0
NCT04935359,Metastatic Pancreatic Ductal Adenocarcinoma,0,0.4561145243656587,0.4561145243656587,0
NCT04842604,Acute Myeloid Leukemia; Myelodysplastic Syndrome; Chronic Myelomonocytic Leukemia,0,0.47220684958204007,0.47220684958204007,0
NCT05087615,"Bariatric Surgery Candidate; Perioperative Complication; Nausea; Vomiting, Postoperative; Drug Effect",0,0.05206180956805675,0.05206180956805675,0
NCT04750707,Sickle Cell Anemia in Children,0,0.40553641248748196,0.40553641248748196,0
NCT04819776,bipolar I disorder,0,0.6546027192655574,0.6546027192655574,0
NCT04684238,sedation,0,0.060403807698290915,0.060403807698290915,0
NCT04939649,Major Depression,1,0.701483136470021,0.701483136470021,0
NCT04955158,Sore Throat,0,0.10837992091586483,0.10837992091586483,0
NCT04607122,atrial fibrillation,1,0.8772474006339415,0.8772474006339415,0
NCT04874935,Breast Cancer,0,0.7661303858085813,0.7661303858085813,0
NCT07079540,Reflux Esophagitis,0,0.440960125336769,0.440960125336769,0
NCT04591353,total hip arthroplasty,0,0.0234021317098277,0.0234021317098277,0
NCT04775225,juvenile idiopathic arthritis,0,0.24087375429068603,0.24087375429068603,0
NCT04985942,Major Depressive Disorder,0,0.4457901052893831,0.4457901052893831,0
NCT05061706,Major Depressive Disorder,0,0.4457901052893831,0.4457901052893831,0
NCT05061719,Major Depressive Disorder,0,0.07118768957294187,0.07118768957294187,0
NCT04786873,isolated growth hormone deficiency type IA,0,0.22503961574522974,0.22503961574522974,0
NCT04510194,SARS-CoV-2 Infection,1,0.11001673785667772,0.11001673785667772,0
NCT04885530,Covid19,1,0.9369012659974457,0.9369012659974457,0
NCT04221750,Frailty; Sarcopenic Obesity; Aging,0,0.5656310203889499,0.5656310203889499,0
NCT04807348,Type 2 Diabetes,0,0.017472871944933212,0.017472871944933212,0
NCT05137184,Acute Pain; Ambulances,0,0.03960579062958527,0.03960579062958527,0
